DATE,BITCOIN,RIPPLE,ETHEREUM,BITCOIN-CASH,EOS,TETHER,LITECOIN,STELLAR,TRON,BITCOIN-SV,CARDANO,BINANCE-COIN,IOTA,MONERO,DASH,NEM,NEO,ETHEREUM-CLASSIC,MAKER,USD-COIN,ZCASH,WAVES,TEZOS,DOGECOIN,VECHAIN,TRUEUSD,ONTOLOGY,BITCOIN-GOLD,QTUM,ZILLIQA,OMISEGO,0X,CHAINLINK,BASIC-ATTENTION-TOKEN,DECRED,AUGUR,PAXOS-STANDARD-TOKEN,LISK,HOLO,NANO,BITCOIN-DIAMOND,BYTECOIN-BCN,REVAIN,STEEM,ICON,DIGIBYTE,BITSHARES,VERGE,SIACOIN,AETERNITY,STRATIS,GEMINI-DOLLAR,PUNDI-X,BYTOM,IOSTOKEN,KOMODO,DAI,STATUS,POPULOUS,GOLEM,ODEM,FACTOM,ELECTRONEUM,LOOPRING,PAYPIE,CRYPTONEX,REPO,MAIDSAFECOIN,ARDOR,HUOBI-TOKEN,INSIGHT-CHAIN,HYPERCASH,AURORA,MIXIN,WALTONCHAIN,ARK,PIVX,PROJECT-PAI,DECENTRALAND,REDDCOIN,THETA,LINKEY,DIGIXDAO,AION,POWER-LEDGER,KUCOIN-SHARES,TENX,BUGGYRA-COIN-ZERO,DENTACOIN,RAVENCOIN,MONACOIN,CRYPTO-COM,POLYMATH-NETWORK,STASIS-EURS,WANCHAIN,BANCOR,WAX,GXCHAIN,ELASTOS,ZCOIN
"Jul 14, 2019",10256.06,0.306426,227.58,282.84,4.12,0.999995,89.77,0.086249,0.025332,126.4,0.059429,28.92,0.306648,85.92,124.18,0.062032,12.09,5.67,592.28,0.998568,82.28,1.48,0.936902,0.003014,0.005711,1,0.899897,27.1,3.08,0.012314,1.58,0.222813,2.79,0.249876,28.42,13.33,1,1.26,0.001339,1.02,0.849512,0.000736,0.106007,0.272194,0.343041,0.011755,0.04193,0.005982,0.002805,0.316608,0.599129,0.991987,0.000616,0.112633,0.007756,1.31,0.955374,0.020594,0.641686,0.061647,0.189516,4.34,0.005831,0.039699,0.187092,0.366809,0.143282,0.159801,0.068085,3.97,0.328426,3.21,0.022139,195.08,1.99,0.331861,0.465219,0.031288,0.040819,0.001414,0.106935,0.323614,19.44,0.088034,0.075287,1.35,0.158453,0.016736,0.000045,0.04296,1.75,5.26,0.058049,1.12,0.267141,0.533236,0.0465,1.42,2.93,9
"Jul 13, 2019",11392.38,0.332179,269.46,344.95,4.75,0.998694,101.02,0.095468,0.028406,153.8,0.06677,31.51,0.345428,93.36,140.5,0.073342,14.16,6.63,658.59,0.999131,89.73,1.55,0.997331,0.003249,0.006493,0.999778,1.07,28.23,3.58,0.014052,1.86,0.256447,3.17,0.286967,30.85,14.69,0.998942,1.42,0.001443,1.15,0.9955,0.000815,0.112471,0.280995,0.300654,0.012903,0.049258,0.006762,0.003093,0.374251,0.678454,0.998279,0.000711,0.141331,0.009414,1.44,0.99405,0.022991,0.773491,0.072521,0.22345,4.68,0.006292,0.045383,0.197694,0.443202,0.170628,0.168633,0.081798,4.03,0.34017,3.9,0.021963,211.19,2.31,0.396186,0.523689,0.040101,0.046443,0.00159,0.117317,0.323614,24.66,0.100056,0.085178,1.54,0.180118,0.019442,0.000046,0.05049,2.03,5.64,0.065271,1.11,0.300015,0.622209,0.054454,1.65,3.41,10.52
"Jul 12, 2019",11815.99,0.344118,276.28,354.46,4.82,1.01,105.3,0.097963,0.029586,166.61,0.069754,31.69,0.356002,98.25,143.7,0.077877,15.4,6.81,664.12,1,93.52,1.63,1.08,0.00334,0.006882,1,1.12,30.27,3.86,0.014598,2,0.266248,3.17,0.291175,31.46,15.34,1,1.48,0.001529,1.19,1.02,0.000879,0.114039,0.29105,0.310023,0.013161,0.051175,0.006753,0.00319,0.381738,0.696538,1,0.000735,0.141743,0.009842,1.54,0.942901,0.023376,0.810737,0.075471,0.227337,4.42,0.005712,0.046337,0.197694,0.477695,0.177173,0.175917,0.085748,4.01,0.348692,4.14,0.025601,229.4,2.48,0.398525,0.542808,0.037011,0.047165,0.001735,0.112778,0.323614,27.13,0.102743,0.088055,1.59,0.185292,0.020354,0.00005,0.047247,2.17,5.64,0.067616,1.11,0.307133,0.642865,0.057032,1.81,3.5,10.61
"Jul 11, 2019",11358.66,0.330335,268.7,345.88,4.69,0.996514,102.64,0.087008,0.027933,162.79,0.065199,29.64,0.343193,89.11,142.99,0.076525,14.61,6.63,660.5,0.999335,88.04,1.5,1.01,0.003243,0.006017,1,1.07,28.68,3.57,0.014096,1.92,0.257108,2.83,0.292996,30.07,14.22,0.99969,1.4,0.001489,1.1,0.984058,0.000759,0.112112,0.278562,0.29541,0.011978,0.049576,0.006513,0.003099,0.36935,0.660299,0.996111,0.000706,0.132854,0.009694,1.36,0.977895,0.02265,0.669288,0.072235,0.226531,4.34,0.005479,0.043868,0.192475,0.47754,0.241299,0.164519,0.080705,3.69,0.34493,3.65,0.026252,220.7,2.45,0.367288,0.524027,0.034897,0.04479,0.001589,0.113052,0.323614,22.71,0.099239,0.083118,1.51,0.162123,0.010036,0.000049,0.039761,2.15,5.47,0.065486,1.12,0.297969,0.623197,0.055023,1.63,3.32,10.28
"Jul 10, 2019",12156.51,0.363775,290,390.24,5.29,0.999782,108.5,0.095057,0.032103,190.98,0.07194,31.48,0.367764,94.94,150.83,0.08283,16.23,7.29,695.98,1,97.18,1.72,1.18,0.003424,0.00696,1,1.23,28.87,4.24,0.015927,2.24,0.270574,3.12,0.296258,32.58,15.38,1,1.52,0.001616,1.24,1.06,0.000776,0.124593,0.313809,0.332312,0.012613,0.053861,0.007373,0.003442,0.414482,0.751008,1,0.000766,0.156592,0.011489,1.34,0.985808,0.02525,0.758611,0.076956,0.244261,4.41,0.005846,0.052215,0.220483,0.527113,0.497766,0.177619,0.09266,3.94,0.345325,4.19,0.025252,243.89,2.44,0.410426,0.614522,0.040482,0.049112,0.001702,0.119974,0.323614,23.54,0.108448,0.093792,1.62,0.1771,0.022012,0.000052,0.044722,2.31,5.86,0.073419,1.13,0.32686,0.671419,0.060469,1.83,3.71,11.05
"Jul 09, 2019",12573.81,0.394168,308.88,416.08,5.9,1,119.43,0.101834,0.034373,204.78,0.077993,32.71,0.396264,99.42,156.72,0.08993,17.28,7.91,736.43,0.999477,101.09,1.83,1.22,0.003549,0.007306,1,1.37,29.02,4.8,0.016917,2.44,0.29342,3.11,0.294936,33.39,16.32,1,1.61,0.001653,1.38,1.16,0.000878,0.12977,0.339528,0.333571,0.01333,0.06008,0.007536,0.00329,0.450325,0.803469,1,0.000801,0.171449,0.012662,1.53,0.995257,0.027693,0.821275,0.090741,0.250711,4.61,0.006403,0.056335,0.275849,0.571876,0.314502,0.203212,0.10465,4.05,0.316446,4.51,0.02652,258.03,2.59,0.455352,0.628714,0.044835,0.053447,0.002008,0.119821,0.323614,24.43,0.120521,0.102942,1.63,0.194352,0.02226,0.000055,0.049683,2.44,5.99,0.081094,1.11,0.345589,0.721554,0.070118,2.07,3.95,11.39
"Jul 08, 2019",12285.96,0.401533,313.25,418.63,5.98,1,123.29,0.105023,0.034502,201.51,0.080476,33.47,0.405675,101.59,160.31,0.091504,17.57,8.02,708.71,0.99937,105.12,1.9,1.22,0.003559,0.007239,0.999588,1.39,27.78,5.01,0.016965,2.58,0.291664,3.34,0.29792,32.44,14.65,1,1.68,0.001725,1.38,1.16,0.000944,0.129676,0.34466,0.348089,0.013075,0.061588,0.007706,0.003202,0.454626,0.833095,1.01,0.00084,0.175533,0.013363,1.51,1.02,0.028703,0.836431,0.093661,0.261083,4.69,0.006384,0.057898,0.280197,0.574141,0.318689,0.209874,0.108932,4.01,0.319277,4.9,0.029821,275.12,2.21,0.438266,0.653396,0.045749,0.051784,0.001965,0.116869,0.323614,25.25,0.126685,0.106753,1.66,0.210524,0.025261,0.000057,0.048171,2.33,6.02,0.082592,1.13,0.356322,0.73575,0.076833,2.07,4.42,11.7
"Jul 07, 2019",11450.85,0.397047,305.7,411.81,5.96,1,120.32,0.105054,0.034933,199.55,0.079964,33.24,0.397539,107.18,157.63,0.090423,17.24,7.93,700.24,0.99672,106.54,2.05,1.2,0.003633,0.007484,0.997433,1.39,26.38,4.83,0.017319,2.4,0.29954,3.31,0.299855,31.68,14.84,0.997686,1.7,0.001759,1.34,1.14,0.000892,0.13311,0.354557,0.370236,0.013605,0.059595,0.007697,0.003113,0.457122,0.861522,0.999778,0.000834,0.177919,0.013188,1.72,1.02,0.028131,1.02,0.093793,0.257215,4.53,0.005399,0.056422,0.263428,0.591273,0.380019,0.206533,0.110745,3.96,0.30158,4.94,0.029678,278.6,2.48,0.465139,0.685177,0.046078,0.052027,0.001946,0.119591,0.323614,26.21,0.134682,0.107576,1.57,0.217484,0.023637,0.000056,0.051553,2.33,6.07,0.083569,1.15,0.391265,0.720185,0.076433,2.09,4.59,11.71
"Jul 06, 2019",11208.55,0.389055,287.55,405.47,5.76,0.99741,117.82,0.102875,0.032047,198.28,0.077335,32.53,0.389644,93.94,153.85,0.089003,16.82,7.81,661.21,0.99612,103.42,1.93,1.22,0.003547,0.007457,0.997868,1.37,26.15,4.76,0.016694,2.37,0.293198,3.48,0.293264,30.23,14.35,0.997964,1.68,0.001682,1.23,1.14,0.000875,0.137442,0.345465,0.311911,0.012373,0.0597,0.007469,0.003016,0.450911,0.827697,0.995296,0.000825,0.181256,0.01289,1.68,0.98026,0.026929,0.841792,0.09387,0.248498,4.77,0.004931,0.05541,0.23973,0.568267,0.374646,0.209036,0.108484,3.98,0.312395,5.04,0.029206,278.17,2.91,0.450114,0.662667,0.046276,0.051761,0.001994,0.118002,0.323614,28.08,0.120084,0.106611,1.56,0.199473,0.022985,0.000051,0.050392,2.35,5.96,0.080991,1.13,0.337709,0.682811,0.074052,2.04,3.94,11.35
"Jul 05, 2019",10978.46,0.378964,288,400.51,5.76,1,118.35,0.099891,0.031849,198.72,0.076532,32.71,0.384788,89.13,152.71,0.089262,17.05,7.84,658.79,1,100.04,1.78,1.28,0.003867,0.007483,0.987106,1.35,26.25,4.72,0.015722,2.3,0.288989,3.62,0.294779,29.69,14.25,1,1.64,0.001712,1.23,1.08,0.000892,0.140105,0.338053,0.302246,0.011626,0.059885,0.007284,0.00299,0.444477,0.826175,0.998779,0.000808,0.186421,0.012189,1.66,0.983985,0.026247,0.62197,0.091156,0.254564,4.98,0.004609,0.053452,0.236236,0.561208,0.382049,0.206095,0.108955,3.97,0.30792,4.8,0.028468,277.47,2.39,0.432314,0.634995,0.045802,0.054378,0.00195,0.118377,0.323614,24.29,0.119763,0.106002,1.49,0.184451,0.021675,0.000051,0.050782,2.33,5.95,0.080157,1.12,0.334405,0.69218,0.072963,2.03,4.16,11.07
